State,Median Income
Alabama,16810.0
Alaska,27756.0
Arizona,18516.0
Arkansas,16574.0
Connecticut,18205.0
Florida,12258.0
Idaho,19231.0
Illinois,16303.0
Indiana,20759.0
Iowa,19870.0
Kansas,26213.0
Kentucky,19701.0
Maryland,25071.0
Minnesota,18025.0
Mississippi,19317.0
Missouri,12750.0
Nebraska,32405.0
New Hampshire,27083.0
New York,20210.0
North Carolina,17851.0
North Dakota,35718.0
Ohio,20243.0
Oklahoma,22610.0
Oregon,23895.0
Pennsylvania,20030.0
Rhode Island,16240.0
South Carolina,18776.0
South Dakota,22097.0
Tennessee,15848.0
Washington,32068.0
West Virginia,20776.0
Wisconsin,21396.0
