State,Population
Alabama,4146.0
Alaska,2387.0
Arizona,57165.0
Arkansas,5090.0
California,11253.0
Colorado,10186.0
Delaware,1880.0
Florida,27114.0
Georgia,4422.0
Idaho,5362.0
Illinois,41591.0
Indiana,16257.0
Iowa,10316.0
Kansas,3964.0
Kentucky,16326.0
Louisiana,3401.0
Maine,7233.0
Maryland,4814.0
Michigan,10403.0
Minnesota,25951.0
Mississippi,4014.0
Missouri,7577.0
Montana,2289.0
Nebraska,1716.0
Nevada,3021.0
New Mexico,2227.0
New York,15944.0
North Carolina,4471.0
North Dakota,2306.0
Oklahoma,5173.0
Oregon,3070.0
South Carolina,8609.0
South Dakota,4427.0
Tennessee,29310.0
Texas,24101.0
Utah,10054.0
Vermont,630.0
Virginia,5844.0
Washington,7531.0
West Virginia,5587.0
Wisconsin,18255.0
Wyoming,5416.0
