State,City,Violent Crime Rate
ALABAMA,Anniston,2.7212409217250966
ALASKA,Kotzebue,2.63317191283293
ARIZONA,Willcox,2.3255813953488373
ARKANSAS,Osceola,2.063140404320133
CALIFORNIA,Industry,33.00970873786408
COLORADO,Lakeside,12.5
CONNECTICUT,Hartford,1.1408797861151478
DELAWARE,Dewey Beach,4.054054054054054
DISTRICT OF COLUMBIA,Washington,1.2025681762735263
FLORIDA,Florida City,3.155577299412916
GEORGIA,College Park,2.589654938648227
HAWAII,Honolulu,0.24386900121784397
IDAHO,Kamiah,0.539291217257319
ILLINOIS,Cairo,3.8110361254466056
INDIANA,Elkhart,1.4738393515106853
IOWA,Keokuk,1.0121836925960637
KANSAS,Wichita,0.9848033984567394
KENTUCKY,West Buechel,0.9433962264150944
LOUISIANA,Monroe,2.601452628613967
MAINE,Mexico,0.5011565150346955
MARYLAND,Baltimore,1.5359306690360757
MASSACHUSETTS,Aquinnah,1.5337423312883436
MICHIGAN,Benton Harbor,2.2572912504994007
MINNESOTA,Hilltop,1.2211668928086838
MISSISSIPPI,Holly Springs,1.4573396926338102
MISSOURI,Kinloch,7.023411371237458
MONTANA,Ronan City,1.132852729145211
NEBRASKA,Sidney,0.603448275862069
NEVADA,Las Vegas Metropolitan Police Department,0.9207276712497134
NEW HAMPSHIRE,Lincoln,0.7207207207207207
NEW JERSEY,Teterboro,5.633802816901409
NEW MEXICO,Cuba,3.1506849315068495
NEW YORK,Newburgh,1.4666808374960145
NORTH CAROLINA,Lumberton,1.6646739630276832
NORTH DAKOTA,Watford City,0.55396370582617
OHIO,Toledo,1.1289491758241759
OKLAHOMA,Ardmore,1.4676372221129255
OREGON,Hines,0.6734006734006733
PENNSYLVANIA,Darby,2.6456015705337945
RHODE ISLAND,Central Falls,0.7761966364812419
SOUTH CAROLINA,Estill,2.225519287833828
SOUTH DAKOTA,Martin,1.1288805268109126
TENNESSEE,Covington,2.2313499111900534
TEXAS,Robstown,2.136386942403008
UTAH,Brian Head,1.1627906976744187
VERMONT,St. Albans,0.4965678399298963
VIRGINIA,Petersburg,0.8086501056758661
WASHINGTON,Fife,0.9645301804604853
WEST VIRGINIA,Beckley,1.3654665343992531
WISCONSIN,Milwaukee,1.5961025982678214
WYOMING,Evansville,0.9349030470914127
